SymbolName	G_InputsScaled.fCylPosition	SymbolName	G_InputsScaled.fSupplyPressure	SymbolName	G_InputsScaled.fReturnPressure	SymbolName	G_InputsScaled.fPistonPressure	SymbolName	G_InputsScaled.fRodPressure	SymbolName	G_Outputs.stCylinderOutputs.nValveOutput	SymbolName	G_ControlParameters.fControlSignal_Cyl	SymbolName	G_ControlParameters.fCylinder_ControlInput	SymbolName	G_ControlParameters.fVelRefCyl	SymbolName	G_ControlParameters.fPosRefCyl	SymbolName	G_ControlParameters.fPosErrorWinch	SymbolName	G_ControlParameters.fPosErrorCyl
NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

133437468265870000	0.00023389259651968031	133437468265870000	-74.123859370708331	133437468265870000	0.06541642506180001	133437468265870000	0.5	133437468265870000	-6.2873165074617754	133437468265870000	19660	133437468265870000	0	133437468265870000	0	133437468265870000	0	133437468265870000	0	133437468265870000	-0.66432602270660723	133437468265870000	-0.23389259651968031
133437468265970000	0.00023389259651968031	133437468265970000	-74.087237159337135	133437468265970000	0.071520126956999386	133437468265970000	0.5	133437468265970000	-6.2995239112521739	133437468265970000	19660	133437468265970000	0	133437468265970000	0	133437468265970000	0	133437468265970000	0	133437468265970000	-0.66432602270660723	133437468265970000	-0.23389259651968031
133437468266070000	0.00023389259651968031	133437468266070000	-74.087237159337135	133437468266070000	0.076403088473158909	133437468266070000	0.5	133437468266070000	-6.2873165074617754	133437468266070000	19660	133437468266070000	0	133437468266070000	0	133437468266070000	0	133437468266070000	0	133437468266070000	-0.66432602270660723	133437468266070000	-0.23389259651968031
133437468266170000	0.00021829975675169422	133437468266170000	-74.209311197241121	133437468266170000	0.070299386577959533	133437468266170000	0.5	133437468266170000	-6.2262794885097819	133437468266170000	19660	133437468266170000	0	133437468266170000	0	133437468266170000	0	133437468266170000	0	133437468266170000	-0.66432602270660723	133437468266170000	-0.21829975675169422
133437468266270000	0.00021829975675169422	133437468266270000	-74.221518601031519	133437468266270000	0.055650502029480853	133437468266270000	0.5	133437468266270000	-6.2629016998809783	133437468266270000	19660	133437468266270000	0	133437468266270000	0	133437468266270000	0	133437468266270000	0	133437468266270000	-0.66432602270660723	133437468266270000	-0.21829975675169422
133437468266370000	0.00023389259651968031	133437468266370000	-74.062822351756338	133437468266370000	0.056871242408520706	133437468266370000	0.5	133437468266370000	-6.34835352641377	133437468266370000	19660	133437468266370000	0	133437468266370000	0	133437468266370000	0	133437468266370000	0	133437468266370000	-0.66432602270660723	133437468266370000	-0.23389259651968031
133437468266470000	0.0002494854362876664	133437468266470000	-74.099444563127534	133437468266470000	0.076403088473158909	133437468266470000	0.5	133437468266470000	-6.3361461226233713	133437468266470000	19660	133437468266470000	0	133437468266470000	0	133437468266470000	0	133437468266470000	0	133437468266470000	-0.66432602270660723	133437468266470000	-0.2494854362876664
133437468266570000	0.00023389259651968031	133437468266570000	-74.282555619983512	133437468266570000	0.071520126956999386	133437468266570000	0.5	133437468266570000	-6.3605609302041692	133437468266570000	19660	133437468266570000	0	133437468266570000	0	133437468266570000	0	133437468266570000	0	133437468266570000	-0.66432602270660723	133437468266570000	-0.23389259651968031
133437468266670000	0.00021829975675169422	133437468266670000	-74.270348216193113	133437468266670000	0.06541642506180001	133437468266670000	0.5	133437468266670000	-6.3361461226233713	133437468266670000	19660	133437468266670000	0	133437468266670000	0	133437468266670000	0	133437468266670000	0	133437468266670000	-0.66432602270660723	133437468266670000	-0.21829975675169422
133437468266770000	0.00023389259651968031	133437468266770000	-74.099444563127534	133437468266770000	0.071520126956999386	133437468266770000	0.5	133437468266770000	-6.3361461226233713	133437468266770000	19660	133437468266770000	0	133437468266770000	0	133437468266770000	0	133437468266770000	0	133437468266770000	-0.66432602270660723	133437468266770000	-0.23389259651968031
